id;name;email
Anni;annie.leonhart@outlook.com;Annie Leonhart
Arm1;Armin Arlert;armin.arlert@outlook.com
Bert;bertolt.hoover@gmail.com;Bertolt Hoover
Con4;Connie Springer;connie.springer@yahoo.com
Ere4;Eren Yeager;eren.yeager@gmail.com
Erw17;Erwin Smith;erwin.smith@yahoo.com
Han1;Hange Zoë;hange.zoe@outlook.com
His1;Historia Reiss;historia.reiss@gmail.com
Jea15;Jean Kirstein;jean.kirstein@gmail.com
Lev6;Levi Ackerman;levi.ackerman@gmail.com
Mik2;Mikasa Ackerman;mikasa.ackerman@yahoo.com
Rein;reiner.braun@outlook.com;Reiner Braun
Sas1;Sasha Blouse;sasha.blouse@outlook.com
Ymir;ymir@yahoo.com;Ymir
Zeke;zeke.yeager@yahoo.com;Zeke Yeager
